eco_num,name,moves,FEN
A17,English: Queens Indian formation,1. c2-c4 g8-f6 2. b1-c3 e7-e6 3. g1-f3 b7-b6,rnbqkb1r/p1pp1ppp/1p2pn2/8/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq - 0 4
A17,"English: Queens Indian, Romanishin variation",1. c2-c4 g8-f6 2. b1-c3 e7-e6 3. g1-f3 b7-b6 4. e2-e4 c8-b7 5. f1-d3,rn1qkb1r/pbpp1ppp/1p2pn2/8/2P1P3/2NB1N2/PP1P1PPP/R1BQK2R b KQkq - 2 5
A17,English: Nimzo-English opening,1. c2-c4 g8-f6 2. b1-c3 e7-e6 3. g1-f3 f8-b4,rnbqk2r/pppp1ppp/4pn2/8/1bP5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq - 2 4
A18,English: Mikenas-Carls variation,1. c2-c4 g8-f6 2. b1-c3 e7-e6 3. e2-e4,rnbqkb1r/pppp1ppp/4pn2/8/2P1P3/2N5/PP1P1PPP/R1BQKBNR b KQkq - 0 3
A18,"English: Mikenas-Carls, Flohr variation",1. c2-c4 g8-f6 2. b1-c3 e7-e6 3. e2-e4 d7-d5 4. e4-e5,rnbqkb1r/ppp2ppp/4pn2/3pP3/2P5/2N5/PP1P1PPP/R1BQKBNR b KQkq - 0 4
A18,"English: Mikenas-Carls, Kevitz variation",1. c2-c4 g8-f6 2. b1-c3 e7-e6 3. e2-e4 b8-c6,r1bqkb1r/pppp1ppp/2n1pn2/8/2P1P3/2N5/PP1P1PPP/R1BQKBNR w KQkq - 1 4
A19,"English: Mikenas-Carls, Sicilian variation",1. c2-c4 g8-f6 2. b1-c3 e7-e6 3. e2-e4 c7-c5,rnbqkb1r/pp1p1ppp/4pn2/2p5/2P1P3/2N5/PP1P1PPP/R1BQKBNR w KQkq - 0 4
A20,"English, Nimzovich variation",1. c2-c4 e7-e5 2. g1-f3,rnbqkbnr/pppp1ppp/8/4p3/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq - 1 2
A20,"English, Nimzovich, Flohr variation",1. c2-c4 e7-e5 2. g1-f3 e5-e4,rnbqkbnr/pppp1ppp/8/8/2P1p3/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3
A21,"English, Troeger defence",1. c2-c4 e7-e5 2. b1-c3 d7-d6 3. g2-g3 c8-e6 4. f1-g2 b8-c6,r2qkbnr/ppp2ppp/2npb3/4p3/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 3 5
A21,"English, Keres variation",1. c2-c4 e7-e5 2. b1-c3 d7-d6 3. g2-g3 c7-c6,rnbqkbnr/pp3ppp/2pp4/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq - 0 4
A21,"English, Smyslov defence",1. c2-c4 e7-e5 2. b1-c3 d7-d6 3. g1-f3 c8-g4,rn1qkbnr/ppp2ppp/3p4/4p3/2P3b1/2N2N2/PP1PPPPP/R1BQKB1R w KQkq - 2 4
A21,"English, Kramnik-Shirov counterattack",1. c2-c4 e7-e5 2. b1-c3 f8-b4,rnbqk1nr/pppp1ppp/8/4p3/1bP5/2N5/PP1PPPPP/R1BQKBNR w KQkq - 2 3
A22,English: Bellon gambit,1. c2-c4 e7-e5 2. b1-c3 g8-f6 3. g1-f3 e5-e4 4. f3-g5 b7-b5,rnbqkb1r/p1pp1ppp/5n2/1p4N1/2P1p3/2N5/PP1PPPPP/R1BQKB1R w KQkq - 0 5
A22,English: Carls' Bremen system,1. c2-c4 e7-e5 2. b1-c3 g8-f6 3. g2-g3,rnbqkb1r/pppp1ppp/5n2/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq - 0 3
A22,"English: Bremen, reverse dragon",1. c2-c4 e7-e5 2. b1-c3 g8-f6 3. g2-g3 d7-d5,rnbqkb1r/ppp2ppp/5n2/3pp3/2P5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq - 0 4
A22,"English: Bremen, Smyslov system",1. c2-c4 e7-e5 2. b1-c3 g8-f6 3. g2-g3 f8-b4,rnbqk2r/pppp1ppp/5n2/4p3/1bP5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq - 1 4
A22,English: Carls' Bremen system,1. c2-c4 e7-e5 2. b1-c3 g8-f6 3. g2-g3,rnbqkb1r/pppp1ppp/5n2/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq - 0 3
